City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,rikaze,29.25,88.8833,-5.32,15,0,2.61,CN,1707426269
125,amursk,50.2261,136.8994,-18.9,100,95,0.77,RU,1707426269
126,kavaratti,10.5669,72.642,27.77,75,83,3.89,IN,1707426269
127,palmer,42.1584,-72.3287,9.78,30,40,0.0,US,1707426269
128,port alfred,-33.5906,26.891,18.43,89,3,2.03,ZA,1707426269
129,kalabo,-14.97,22.6814,22.89,70,85,2.7,ZM,1707426269
130,yuzhno-kurilsk,44.0306,145.8556,-7.57,92,30,5.53,RU,1707426270
131,chimoio,-19.1164,33.4833,23.92,94,20,1.7,MZ,1707426270
132,kigoma,-4.8769,29.6267,24.07,77,5,1.21,TZ,1707426270
133,huarmey,-10.0681,-78.1522,27.0,74,54,3.86,PE,1707426270
134,nogliki,51.8333,143.1667,-19.25,96,100,2.68,RU,1707426270
135,mwanza,-2.5167,32.9,22.8,74,55,1.23,TZ,1707426271
136,houlton,46.1262,-67.8403,2.23,52,0,2.57,US,1707426271
137,caucete,-31.6518,-68.2811,31.85,46,75,11.65,AR,1707426271
138,ikom,5.9667,8.7063,26.68,34,100,1.43,NG,1707426271
139,puerto san jose,13.9256,-90.8244,29.26,43,4,5.11,GT,1707426271
140,uyskoye,54.3775,60.0047,-5.78,73,43,8.49,RU,1707426271
141,papatowai,-46.5619,169.4708,11.96,61,37,1.16,NZ,1707426272
142,olonkinbyen,70.9221,-8.7187,-2.57,67,65,5.42,SJ,1707426272
143,moose jaw,50.4001,-105.5344,-3.86,93,100,6.69,CA,1707426272
144,touros,-5.1989,-35.4608,27.77,76,28,5.47,BR,1707426272
145,taulaga,-11.0553,-171.0883,28.48,82,100,10.55,AS,1707426272
146,tamanrasset,22.785,5.5228,15.95,14,0,2.06,DZ,1707426272
147,mount gambier,-37.8333,140.7667,12.71,82,94,2.62,AU,1707426272
148,jhunjhunun,28.1307,75.4014,11.19,33,0,3.8,IN,1707426273
149,kodiak,57.79,-152.4072,2.73,93,100,9.77,US,1707426273
150,mount pearl,47.5166,-52.7813,-1.14,94,100,7.2,CA,1707426272
151,klyuchi,52.2667,79.1667,-3.46,95,100,10.36,RU,1707426273
152,punta arenas,-53.15,-70.9167,15.06,55,75,12.35,CL,1707426273
153,zumarraga,11.6388,124.8417,24.06,88,21,1.77,PH,1707426273
154,longyearbyen,78.2186,15.6401,-10.09,73,20,3.6,SJ,1707426273
155,port lincoln,-34.7333,135.8667,16.31,81,9,5.9,AU,1707426274
156,porbandar,21.6422,69.6093,21.08,42,66,4.02,IN,1707426274
157,chui,-33.6971,-53.4616,26.85,62,4,6.2,UY,1707426274
158,paita,-5.0892,-81.1144,27.75,75,26,7.67,PE,1707426274
159,udachny,66.4167,112.4,-32.53,67,100,1.41,RU,1707426157
160,fale old settlement,-9.3852,-171.2468,29.02,76,100,8.3,TK,1707426274
161,cidreira,-30.1811,-50.2056,25.37,89,58,5.92,BR,1707426275
162,yaren,-0.5472,166.916,28.68,77,100,7.21,NR,1707426275
163,praia da vitoria,38.7333,-27.0667,15.42,88,20,10.64,PT,1707426275
164,aswan,24.0934,32.907,20.61,22,0,1.54,EG,1707426275
165,dazhou,31.2159,107.5009,5.89,82,100,0.4,CN,1707426275
166,mawu,29.5923,107.3139,4.9,89,99,0.71,CN,1707426275
167,at taj,24.2049,23.2857,13.48,32,0,3.29,LY,1707426276
168,machiques,10.0644,-72.545,29.28,64,70,2.3,VE,1707426276
169,ponta delgada,37.7333,-25.6667,18.44,88,20,12.86,PT,1707426053
170,nouadhibou,20.931,-17.0347,21.99,60,2,5.66,MR,1707426276
171,suomussalmi,64.8869,28.9078,-27.29,100,100,1.55,FI,1707426276
172,rakops,-21.0167,24.3333,29.49,33,9,2.79,BW,1707426276
173,port augusta,-32.5,137.7667,19.3,54,0,4.86,AU,1707426276
174,neiafu,-18.65,-173.9833,26.38,94,75,3.6,TO,1707426087
175,sumbawa besar,-8.5,117.4333,23.92,91,54,1.47,ID,1707426277
